-3.69333. -3.8, 15.0579, 0.1, -0.115523
-3.68659. -3.80078, 15.1097, 0.162165, -0.115523
-3.67984. -3.80157, 15.1466, 0.206385, -0.115523
-3.6731. -3.80235, 15.1768, 0.242677, -0.115523
-3.66635. -3.80313, 15.2031, 0.274208, -0.115523
-3.65961. -3.80391, 15.2267, 0.302469, -0.115523
-3.65286. -3.8047, 15.2482, 0.328306, -0.115523
-3.64612. -3.80548, 15.2681, 0.352253, -0.115523
-3.63937. -3.80626, 15.2868, 0.374673, -0.115523
-3.63263. -3.80704, 15.3045, 0.395824, -0.115523
-3.62588. -3.80783, 15.3212, 0.415902, -0.115523
-3.61913. -3.80861, 15.3371, 0.435054, -0.115523
-3.61239. -3.80939, 15.3524, 0.453398, -0.115523
-3.60564. -3.81018, 15.3671, 0.471027, -0.115523
-3.5989. -3.81096, 15.3813, 0.488021, -0.115523
-3.59215. -3.81174, 15.395, 0.504442, -0.115523
-3.58541. -3.81252, 15.4082, 0.520345, -0.115523
-3.57866. -3.81331, 15.4211, 0.535777, -0.115523
-3.57192. -3.81409, 15.4336, 0.550776, -0.115523
-3.56517. -3.81487, 15.4458, 0.565377, -0.115523
-3.55843. -3.81565, 15.4576, 0.579611, -0.115523
-3.55168. -3.81644, 15.4692, 0.593503, -0.115523
-3.54494. -3.81722, 15.4805, 0.607078, -0.115523
-3.53819. -3.818, 15.4916, 0.620356, -0.115523
-3.53145. -3.81879, 15.5024, 0.633355, -0.115523
-3.5247. -3.81957, 15.513, 0.646093, -0.115523
-3.51795. -3.82035, 15.5234, 0.658584, -0.115523
-3.51121. -3.82113, 15.5336, 0.670843, -0.115523
-3.50446. -3.82192, 15.5437, 0.682882, -0.115523
-3.49772. -3.8227, 15.5535, 0.694713, -0.115523
-3.49097. -3.82348, 15.5632, 0.706345, -0.115523
-3.48423. -3.82426, 15.5728, 0.717789, -0.115523
-3.47748. -3.82505, 15.5821, 0.729053, -0.115523
-3.47074. -3.82583, 15.5914, 0.740146, -0.115523
-3.46399. -3.82661, 15.6005, 0.751074, -0.115523
-3.45725. -3.8274, 15.6095, 0.761847, -0.115523
-3.4505. -3.82818, 15.6183, 0.772469, -0.115523
-3.44376. -3.82896, 15.6271, 0.782947, -0.115523
-3.43701. -3.82974, 15.6357, 0.793286, -0.115523
-3.43027. -3.83053, 15.6442, 0.803492, -0.115523
